nombre_hotel,ciudad,tipo_alojamiento,precio_clp,puntuacion,prediction
Apart Hotel Sur Copiapo,Copiapo,apartamento,88059.0,8.8,0
Apart Hotel Sur Copiapo,Copiapo,apartamento,86732.0,9.7,0
Apart Hotel Vista Hermosa Copiapo,Copiapo,apartamento,85942.0,7.4,1
DUNA Apart Hotel,Copiapo,apartamento,135664.0,9.0,2
Apart Hotel Andino Coyhaique,Coyhaique,apartamento,81158.0,7.5,1
Apart Hotel Central Coyhaique,Coyhaique,apartamento,60312.0,9.4,0
Apart Hotel Central Coyhaique,Coyhaique,apartamento,95138.0,7.9,1
Apart Hotel Costanera Coyhaique,Coyhaique,apartamento,60109.0,8.8,0
Apart Hotel Del Mar Coyhaique,Coyhaique,apartamento,79868.0,7.4,1
Apart Hotel Del Mar Coyhaique,Coyhaique,apartamento,80935.0,7.8,1
Apart Hotel Norte Coyhaique,Coyhaique,apartamento,84904.0,9.2,0
Apart Hotel Norte Coyhaique,Coyhaique,apartamento,108830.0,7.0,1
Apart Hotel Plaza Coyhaique,Coyhaique,apartamento,79922.0,6.8,1
Apart Hotel Plaza Coyhaique,Coyhaique,apartamento,103998.0,7.4,1
Apart Hotel Primavera Coyhaique,Coyhaique,apartamento,74487.0,9.3,0
Apart Hotel Primavera Coyhaique,Coyhaique,apartamento,66589.0,9.7,0
Apart Hotel Sur Coyhaique,Coyhaique,apartamento,113919.0,9.3,0
Apart Hotel Sur Coyhaique,Coyhaique,apartamento,121037.0,9.4,0
Apart Hotel Vista Hermosa Coyhaique,Coyhaique,apartamento,107847.0,9.2,0
Apart Hotel Vista Hermosa Coyhaique,Coyhaique,apartamento,63782.0,8.5,0
Entre Cumbres Apart Hotel,Coyhaique,apartamento,108737.0,9.4,0
Madero Aysen ApartHotel,Coyhaique,apartamento,88106.0,8.7,0
Nomade Balmaceda,Coyhaique,apartamento,44650.0,8.3,0
Apart Hotel Andino Iquique,Iquique,apartamento,114741.0,8.6,0
Apart Hotel Andino Iquique,Iquique,apartamento,72674.0,7.4,1
Apart Hotel Central Iquique,Iquique,apartamento,106207.0,9.4,0
Apart Hotel Central Iquique,Iquique,apartamento,59493.0,9.0,0
Apart Hotel Costanera Iquique,Iquique,apartamento,59885.0,8.8,0
Apart Hotel Costanera Iquique,Iquique,apartamento,61193.0,8.4,0
Apart Hotel Del Mar Iquique,Iquique,apartamento,73014.0,7.1,1
Apart Hotel Norte Iquique,Iquique,apartamento,56006.0,8.4,0
Apart Hotel Norte Iquique,Iquique,apartamento,98591.0,8.1,1
Apart Hotel Plaza Iquique,Iquique,apartamento,93108.0,9.7,0
Apart Hotel Primavera Iquique,Iquique,apartamento,92661.0,9.7,0
Apart Hotel Primavera Iquique,Iquique,apartamento,88903.0,8.4,0
Apart Hotel Sur Iquique,Iquique,apartamento,81872.0,7.4,1
Apart Hotel Sur Iquique,Iquique,apartamento,94991.0,8.3,0
Apart Hotel Vista Hermosa Iquique,Iquique,apartamento,85322.0,9.4,0
Gran Cavancha Hotel & Apartment,Iquique,apartamento,144952.0,8.4,2
Hotel Gavina,Iquique,apartamento,49043.0,8.5,0
Hotel Iquique Plaza,Iquique,apartamento,48709.0,6.8,1
Opens in new window,Iquique,apartamento,53200.0,8.0,1
Studio 56 Apart Hotel by Terrado Iquique,Iquique,apartamento,120794.0,8.0,2
Terrado Cavancha,Iquique,apartamento,110938.0,6.7,1
apartamento con vista al mar y piscina.,Iquique,apartamento,200000.0,9.9,2
Apart Hotel Andino La Serena,La Serena,apartamento,105987.0,7.7,1
Apart Hotel Central La Serena,La Serena,apartamento,73481.0,7.3,1
Apart Hotel Central La Serena,La Serena,apartamento,116852.0,8.2,2
Apart Hotel Costanera La Serena,La Serena,apartamento,47627.0,8.3,0
Apart Hotel Costanera La Serena,La Serena,apartamento,49052.0,9.2,0
Apart Hotel Del Mar La Serena,La Serena,apartamento,96371.0,9.6,0
Apart Hotel Del Mar La Serena,La Serena,apartamento,91275.0,9.7,0
Apart Hotel Gran Pacifico,La Serena,apartamento,66463.0,8.8,0
Apart Hotel Norte La Serena,La Serena,apartamento,51955.0,8.4,0
Apart Hotel Norte La Serena,La Serena,apartamento,84099.0,8.5,0
Apart Hotel Plaza La Serena,La Serena,apartamento,74726.0,9.4,0
Apart Hotel Primavera La Serena,La Serena,apartamento,83654.0,9.4,0
Apart Hotel Sur La Serena,La Serena,apartamento,108461.0,6.6,1
Apart Hotel Sur La Serena,La Serena,apartamento,57999.0,7.3,1
Apart Hotel Vista Hermosa La Serena,La Serena,apartamento,107437.0,9.1,0
Aparthotel Serena Dream,La Serena,apartamento,59759.0,8.8,0
Apartment for rent near the beach,La Serena,apartamento,189000.0,8.5,2
Hotel El Coihue,Pucon,apartamento,107187.0,8.3,0
Hotel Pucon Lodge,Pucon,apartamento,88178.0,7.2,1
201/ Precioso apartamento 1D+1B Centro + Jumbo 5 min,Puerto Montt,apartamento,45000.0,8.7,0
Apart Hotel Andino Puerto Montt,Puerto Montt,apartamento,55345.0,7.3,1
Apart Hotel Andino Puerto Montt,Puerto Montt,apartamento,52862.0,8.0,1
Apart Hotel Central Puerto Montt,Puerto Montt,apartamento,45816.0,7.0,1
Apart Hotel Central Puerto Montt,Puerto Montt,apartamento,65037.0,9.4,0
Apart Hotel Costanera Puerto Montt,Puerto Montt,apartamento,46266.0,7.5,1
Apart Hotel Costanera Puerto Montt,Puerto Montt,apartamento,90106.0,8.6,0
Apart Hotel Del Mar Puerto Montt,Puerto Montt,apartamento,114693.0,7.1,1
Apart Hotel Del Mar Puerto Montt,Puerto Montt,apartamento,111582.0,7.9,1
Apart Hotel Norte Puerto Montt,Puerto Montt,apartamento,99860.0,8.5,0
Apart Hotel Norte Puerto Montt,Puerto Montt,apartamento,77488.0,8.0,1
Apart Hotel Plaza Puerto Montt,Puerto Montt,apartamento,68567.0,9.7,0
Apart Hotel Plaza Puerto Montt,Puerto Montt,apartamento,64616.0,9.5,0
Apart Hotel Primavera Puerto Montt,Puerto Montt,apartamento,61938.0,7.4,1
Apart Hotel Primavera Puerto Montt,Puerto Montt,apartamento,65300.0,8.2,1
Apart Hotel Sur Puerto Montt,Puerto Montt,apartamento,95350.0,9.6,0
Apart Hotel Sur Puerto Montt,Puerto Montt,apartamento,50613.0,8.8,0
Apart Hotel Vista Hermosa Puerto Montt,Puerto Montt,apartamento,112514.0,7.5,1
Apartamento central en Puerto Montt - 1MIN JUMBO - 3 MIN CENTRO,Puerto Montt,apartamento,49500.0,9.4,0
Apartamentos Villafrea,Puerto Montt,apartamento,198000.0,9.4,2
Aparthotel Departamentos Madan,Puerto Montt,apartamento,37815.0,8.0,1
Cabañas el Farolito,Puerto Montt,apartamento,22800.0,9.0,0
Hotel Apart Colón,Puerto Montt,apartamento,80219.0,8.5,0
Hotel Puerto Montt Lodge,Puerto Montt,apartamento,54458.0,7.8,1
Puerto Montt apartamento 1 en playa Pelluco,Puerto Montt,apartamento,186300.0,9.2,2
Apart Hotel Andino Puerto Natales,Puerto Natales,apartamento,67311.0,6.9,1
Apart Hotel Andino Puerto Natales,Puerto Natales,apartamento,50636.0,7.7,1
Apart Hotel Central Puerto Natales,Puerto Natales,apartamento,57881.0,7.0,1
Apart Hotel Central Puerto Natales,Puerto Natales,apartamento,103291.0,9.2,0
Apart Hotel Costanera Puerto Natales,Puerto Natales,apartamento,71796.0,8.2,1
Apart Hotel Costanera Puerto Natales,Puerto Natales,apartamento,92622.0,8.2,1
Apart Hotel Del Mar Puerto Natales,Puerto Natales,apartamento,53878.0,8.4,0
Apart Hotel Del Mar Puerto Natales,Puerto Natales,apartamento,82665.0,7.5,1
Apart Hotel Norte Puerto Natales,Puerto Natales,apartamento,79465.0,9.3,0
Apart Hotel Norte Puerto Natales,Puerto Natales,apartamento,56749.0,9.1,0
Apart Hotel Plaza Puerto Natales,Puerto Natales,apartamento,48924.0,7.5,1
Apart Hotel Primavera Puerto Natales,Puerto Natales,apartamento,96050.0,7.1,1
Apart Hotel Sur Puerto Natales,Puerto Natales,apartamento,77714.0,6.7,1
Apart Hotel Sur Puerto Natales,Puerto Natales,apartamento,120352.0,7.9,1
Apart Hotel Vista Hermosa Puerto Natales,Puerto Natales,apartamento,55861.0,9.2,0
Apartment By Toore Patagonia,Puerto Natales,apartamento,130960.0,9.4,2
Cumbres Apart,Puerto Natales,apartamento,225000.0,9.2,2
Apart Hotel Andino Puerto Varas,Puerto Varas,apartamento,79019.0,9.5,0
Apart Hotel Andino Puerto Varas,Puerto Varas,apartamento,100441.0,7.6,1
Apart Hotel Central Puerto Varas,Puerto Varas,apartamento,94299.0,8.2,1
Apart Hotel Central Puerto Varas,Puerto Varas,apartamento,107794.0,7.6,1
Apart Hotel Costanera Puerto Varas,Puerto Varas,apartamento,78250.0,9.6,0
Apart Hotel Costanera Puerto Varas,Puerto Varas,apartamento,100696.0,8.3,0
Apart Hotel Del Mar Puerto Varas,Puerto Varas,apartamento,63720.0,9.0,0
Apart Hotel Del Mar Puerto Varas,Puerto Varas,apartamento,124011.0,8.8,2
Apart Hotel Norte Puerto Varas,Puerto Varas,apartamento,95458.0,9.6,0
Apart Hotel Norte Puerto Varas,Puerto Varas,apartamento,123953.0,9.1,0
Apart Hotel Plaza Puerto Varas,Puerto Varas,apartamento,116188.0,8.3,2
Apart Hotel Plaza Puerto Varas,Puerto Varas,apartamento,92594.0,7.5,1
Apart Hotel Primavera Puerto Varas,Puerto Varas,apartamento,93055.0,9.7,0
Apart Hotel Primavera Puerto Varas,Puerto Varas,apartamento,53923.0,8.1,1
Apart Hotel Sur Puerto Varas,Puerto Varas,apartamento,109019.0,9.8,0
Apart Hotel Vista Hermosa Puerto Varas,Puerto Varas,apartamento,62899.0,6.7,1
Cabañas Puerto Varas,Puerto Varas,apartamento,83958.0,7.6,1
Agathas Apartment - departamento céntrico,Punta Arenas,apartamento,190000.0,9.6,2
Apart Hotel Andino Punta Arenas,Punta Arenas,apartamento,117394.0,9.0,0
Apart Hotel Andino Punta Arenas,Punta Arenas,apartamento,101418.0,9.0,0
Apart Hotel Central Punta Arenas,Punta Arenas,apartamento,113930.0,9.8,0
Apart Hotel Central Punta Arenas,Punta Arenas,apartamento,104698.0,8.8,0
Apart Hotel Costanera Punta Arenas,Punta Arenas,apartamento,69979.0,6.6,1
Apart Hotel Del Mar Punta Arenas,Punta Arenas,apartamento,71897.0,9.5,0
Apart Hotel Del Mar Punta Arenas,Punta Arenas,apartamento,61436.0,7.4,1
Apart Hotel Endurance,Punta Arenas,apartamento,94640.0,9.2,0
Apart Hotel Norte Punta Arenas,Punta Arenas,apartamento,53108.0,6.6,1
Apart Hotel Norte Punta Arenas,Punta Arenas,apartamento,64160.0,8.4,0
Apart Hotel Plaza Punta Arenas,Punta Arenas,apartamento,52872.0,7.7,1
Apart Hotel Primavera Punta Arenas,Punta Arenas,apartamento,70554.0,9.3,0
Apart Hotel Sur Punta Arenas,Punta Arenas,apartamento,101901.0,9.5,0
Apart Hotel Vista Hermosa Punta Arenas,Punta Arenas,apartamento,112107.0,9.4,0
Apart Hotel Vista Hermosa Punta Arenas,Punta Arenas,apartamento,69509.0,8.6,0
Apartamentos Entre Fronteras,Punta Arenas,apartamento,72107.0,9.3,0
Apartasuite Altos del Bosque,Punta Arenas,apartamento,119183.0,9.3,0
Hotel Punta Arenas Lodge,Punta Arenas,apartamento,43110.0,7.4,1
Matic Apartments,Punta Arenas,apartamento,43444.0,9.0,0
Patagonia Hotel & Apart Suite,Punta Arenas,apartamento,94640.0,8.5,0
Apart Hotel Andino Rancagua,Rancagua,apartamento,81089.0,6.7,1
Apart Hotel Andino Rancagua,Rancagua,apartamento,105018.0,9.0,0
Apart Hotel Campos Rancagua,Rancagua,apartamento,124925.0,9.2,0
Apart Hotel Central Rancagua,Rancagua,apartamento,93009.0,9.1,0
Apart Hotel Costanera Rancagua,Rancagua,apartamento,84023.0,8.1,1
Apart Hotel Costanera Rancagua,Rancagua,apartamento,91517.0,9.0,0
Apart Hotel Del Mar Rancagua,Rancagua,apartamento,83054.0,8.9,0
Apart Hotel Del Mar Rancagua,Rancagua,apartamento,107314.0,8.6,0
Apart Hotel Norte Rancagua,Rancagua,apartamento,99449.0,7.5,1
Apart Hotel Norte Rancagua,Rancagua,apartamento,57345.0,7.2,1
Apart Hotel Plaza Rancagua,Rancagua,apartamento,63642.0,6.7,1
Apart Hotel Plaza Rancagua,Rancagua,apartamento,100845.0,8.6,0
Apart Hotel Primavera Rancagua,Rancagua,apartamento,79092.0,6.9,1
Apart Hotel Sur Rancagua,Rancagua,apartamento,49367.0,8.7,0
Apart Hotel Sur Rancagua,Rancagua,apartamento,81613.0,7.9,1
Apart Hotel Vista Hermosa Rancagua,Rancagua,apartamento,56477.0,9.0,0
Apart Hotel Vista Hermosa Rancagua,Rancagua,apartamento,107679.0,7.2,1
Hotel Diego de Almagro,Rancagua,apartamento,42255.0,7.4,1
Vista Apartments - Aire Acondicionado y Estacionamiento,Rancagua,apartamento,135200.0,8.8,2
Aconcagua Apartments,Santiago,apartamento,136542.0,8.3,2
Apart Hotel Andino Santiago,Santiago,apartamento,48152.0,8.5,0
Apart Hotel Andino Santiago,Santiago,apartamento,61807.0,8.6,0
Apart Hotel Central Santiago,Santiago,apartamento,54555.0,8.1,1
Apart Hotel Central Santiago,Santiago,apartamento,49966.0,8.7,0
Apart Hotel Costanera Santiago,Santiago,apartamento,62655.0,8.2,1
Apart Hotel Costanera Santiago,Santiago,apartamento,97998.0,7.8,1
Apart Hotel Del Mar Santiago,Santiago,apartamento,93105.0,7.9,1
Apart Hotel Del Mar Santiago,Santiago,apartamento,83127.0,7.7,1
Apart Hotel Norte Santiago,Santiago,apartamento,83349.0,8.4,0
Apart Hotel Plaza Santiago,Santiago,apartamento,54493.0,8.1,1
Apart Hotel Primavera Santiago,Santiago,apartamento,86000.0,8.0,1
Apart Hotel Primavera Santiago,Santiago,apartamento,103873.0,9.1,0
Apart Hotel Sur Santiago,Santiago,apartamento,106380.0,9.2,0
Apart Hotel Sur Santiago,Santiago,apartamento,124970.0,9.7,0
Apart Hotel Vista Hermosa Santiago,Santiago,apartamento,48794.0,6.8,1
Apart Hotel Vista Hermosa Santiago,Santiago,apartamento,67060.0,9.1,0
Apartamentos Costanera Centre,Santiago,apartamento,98207.0,8.0,1
Avg. per night,Santiago,apartamento,69350.0,8.2,1
Diego de Almagro,Santiago,apartamento,70939.0,7.4,1
Hotel Santiago Inn,Santiago,apartamento,47837.0,7.2,1
Park Plaza Apart Hotel,Santiago,apartamento,41800.0,8.7,0
Personal Aparts Downtown,Santiago,apartamento,39424.0,7.7,1
The Singular Santiago,Santiago,apartamento,196675.0,7.4,2
VIP Apartments Chile,Santiago,apartamento,152281.0,8.2,2
W Santiago,Santiago,apartamento,160981.0,8.6,2
Zenteno Apartments,Santiago,apartamento,109577.0,8.8,0
Apart Hotel Andino Talca,Talca,apartamento,100852.0,6.9,1
Apart Hotel Andino Talca,Talca,apartamento,49432.0,9.7,0
Apart Hotel Central Talca,Talca,apartamento,57438.0,9.6,0
Apart Hotel Central Talca,Talca,apartamento,74198.0,7.4,1
Apart Hotel Costanera Talca,Talca,apartamento,64352.0,8.0,1
Apart Hotel Del Mar Talca,Talca,apartamento,95763.0,7.6,1
Apart Hotel Del Mar Talca,Talca,apartamento,112456.0,7.8,1
Apart Hotel Norte Talca,Talca,apartamento,61399.0,9.5,0
Apart Hotel Norte Talca,Talca,apartamento,60568.0,7.7,1
Apart Hotel Plaza Talca,Talca,apartamento,79861.0,9.8,0
Apart Hotel Plaza Talca,Talca,apartamento,66124.0,7.1,1
Apart Hotel Primavera Talca,Talca,apartamento,78982.0,7.2,1
Apart Hotel Primavera Talca,Talca,apartamento,107871.0,8.3,0
Apart Hotel Sur Talca,Talca,apartamento,56927.0,7.6,1
Apart Hotel Vista Hermosa Talca,Talca,apartamento,70773.0,7.4,1
Apart las Rastras talca,Talca,apartamento,45067.0,8.9,0
Apartamentos Terrazas de Talca,Talca,apartamento,54080.0,8.3,0
Hotel Del Valle,Talca,apartamento,63080.0,7.5,1
Hotel Diego de Almagro,Talca,apartamento,60453.0,7.4,1
Hotel Talca Boutique,Talca,apartamento,35839.0,7.3,1
Hotel Talca Lodge,Talca,apartamento,41972.0,7.8,1
Hotel Talca Resort,Talca,apartamento,62064.0,7.5,1
Talca-Mall Plaza Maule Apartment,Talca,apartamento,50000.0,9.2,0
Apart Hotel Andino Temuco,Temuco,apartamento,119132.0,9.2,0
Apart Hotel Andino Temuco,Temuco,apartamento,101741.0,8.3,0
Apart Hotel Aragon Portal,Temuco,apartamento,64763.0,8.7,0
Apart Hotel Central Temuco,Temuco,apartamento,74076.0,7.0,1
Apart Hotel Costanera Temuco,Temuco,apartamento,106463.0,9.5,0
Apart Hotel Costanera Temuco,Temuco,apartamento,70822.0,9.3,0
Apart Hotel Del Mar Temuco,Temuco,apartamento,81072.0,9.5,0
Apart Hotel Del Mar Temuco,Temuco,apartamento,96800.0,9.7,0
Apart Hotel Norte Temuco,Temuco,apartamento,69501.0,7.3,1
Apart Hotel Plaza Temuco,Temuco,apartamento,85206.0,7.0,1
Apart Hotel Plaza Temuco,Temuco,apartamento,114395.0,8.7,0
Apart Hotel Primavera Temuco,Temuco,apartamento,105662.0,9.3,0
Apart Hotel Sur Temuco,Temuco,apartamento,75825.0,8.5,0
Apart Hotel Sur Temuco,Temuco,apartamento,68482.0,8.7,0
Apart Hotel Vista Hermosa Temuco,Temuco,apartamento,92036.0,8.9,0
Hotel Diego de Almagro,Temuco,apartamento,39987.0,7.5,1
Acogedor Apartamento Valdiviano,Valdivia,apartamento,106855.0,9.4,0
Apart Hotel Altos del Molino Valdivia con estacionamiento,Valdivia,apartamento,214744.0,8.8,2
Apart Hotel Andino Valdivia,Valdivia,apartamento,56890.0,7.0,1
Apart Hotel Andino Valdivia,Valdivia,apartamento,79826.0,9.5,0
Apart Hotel Casablanca,Valdivia,apartamento,72107.0,8.9,0
Apart Hotel Central Valdivia,Valdivia,apartamento,114347.0,8.2,2
Apart Hotel Central Valdivia,Valdivia,apartamento,117641.0,9.3,0
Apart Hotel Costanera Valdivia,Valdivia,apartamento,100490.0,7.0,1
Apart Hotel Costanera Valdivia,Valdivia,apartamento,53142.0,9.5,0
Apart Hotel Del Mar Valdivia,Valdivia,apartamento,64565.0,7.8,1
Apart Hotel Estación,Valdivia,apartamento,44411.0,7.3,1
Apart Hotel Norte Valdivia,Valdivia,apartamento,55734.0,8.6,0
Apart Hotel Norte Valdivia,Valdivia,apartamento,54141.0,8.5,0
Apart Hotel Plaza Valdivia,Valdivia,apartamento,81749.0,7.6,1
Apart Hotel Primavera Valdivia,Valdivia,apartamento,85946.0,9.0,0
Apart Hotel Primavera Valdivia,Valdivia,apartamento,50849.0,9.6,0
Apart Hotel Sur Valdivia,Valdivia,apartamento,116241.0,8.3,2
